Item Name,SKU,Category,Color,Size,Weight
Linen Mallow Cushion Cover,SKU-00011,Cushion Cover,-,"12""x20"" / 30x50 cm",0.09
Linen Slumber Solid Basket,SKU-00012,Basket,Sunset Orange,30 x 30cm,0.4
Linen Jacobean Tablecloth,SKU-00013,Tablecloth,,"100""x55"" / 250x140 cm",0.73
Linen Rio Tablecloth,SKU-00014,Tablecloth,Green,"118""x60"" / 300x152 cm",0.94
Linen Black Needled Duvet Cover,SKU-00015,Duvet Cover (IND),Aqua Blue,"102""X 94"" / 260 X 240 cm KING / Standard pillowcases: 69""X43"" / 27 x 17 cm",2.41
Linen Slumber Solid Cushion Cover,SKU-00016,Cushion Cover,Sandy Beige,"24""x24"" / 60x60 cm",0.15
Linen Tendril Table Runner,SKU-00017,Table Runner,Lime Yellow,"16""x80"" / 40x200 cm",0.17
Linen Natural Needled Napkin Set,SKU-00018,Napkin Set,Angora White,"Set of 2 - 14""x14""/ 35 cm x 35 cm",0.06
Linen Slumber Solid Duvet Cover,SKU-00019,Duvet Cover,Ivory Bloom,"US KING: 102"" x 90"" / 259 x 229 cm / Without Pillowcases",2.03
Linen Camellia Tablecloth,SKU-00020,Tablecloth,Pink,"108""x55"" / 274x140 cm",0.8
Linen Verge Quilt,SKU-00021,Quilt,Lime Yellow,"US TWIN: 66"" x 86"" / 167 x 219 cm",1.28
Linen Slumber Solid Duvet Cover,SKU-00022,Duvet Cover,Retro Green,"US TWIN: 66"" x 86"" / 167 x 219 cm / Without Pillowcases",1.28
Linen Slumber Solid Tote Bag,SKU-00023,Tote Bag,Sunset Orange,"16""x14""",
Linen Fringe Me Kantha Tablecloth,SKU-00024,Tablecloth,Oatmeal,"39""x39"" / 100x100 cm",0.19
Linen Heritage Table Runner,SKU-00025,Table Runner,Peach,"16""x100"" / 40x250 cm",0.24
Linen Althea Curtain,SKU-00026,Curtain,Green,"53""x64""/ 135x163cm",0.47
Linen Clara Curtain,SKU-00027,Curtain,Blue,"53""x64""/ 135x163cm",0.48
Linen Ebon Quilt,SKU-00028,Quilt,Retro Green,"US QUEEN: 90"" x 88"" / 229 x 224 cm",1.77
Linen Slumber Solid Kitchen Towel,SKU-00029,Kitchen Towel,Cinnamon Brown,45 x 70 cm,0.07
Linen Floret Cushion Cover,SKU-00030,Cushion Cover,Vanilla Sky,"16""x16"" / 40x40 cm",0.08
Linen Ardent Duvet Cover,SKU-00031,Duvet Cover,-,"US KING: 102""X90"" / 259 x 229 cm / Standard pillowcases: 26""X20"" / 51 x 66 cm",2.77
Linen Slumber Solid Duvet Cover,SKU-00032,Duvet Cover,Aqua Blue,"US CA KING: 104""X94"" / 264 x 239 cm / Jumbo pillowcases: 20"" x 28"" / 51 x 71 cm",2.47
Linen Yellow Lace Tablecloth,SKU-00033,Tablecloth,Angora White,"142""x55"" / 360x140 cm",0.88
Linen Black Needled Duvet Cover,SKU-00034,Duvet Cover,Bottle Green,"US QUEEN: 90""X88"" / 229 x 224 cm / Queen pillowcases: 20 x 30"" / 51 x 76 cm",2.1
Linen Natural Lace Tablecloth,SKU-00035,Tablecloth,Ivory Bloom,"55""x55"" / 140x140 cm",0.36
Linen Slumber Solid Placemat Set,SKU-00036,Placemat Set,Sandy Beige,"Set of 2 - 14""x18"" / 35 x 45 cm",0.08
Linen Slumber Solid Fitted Sheet,SKU-00037,Fitted Sheet,Cinnamon Brown,Twin XL,0.67
Linen Athena Cushion Cover,SKU-00038,Cushion Cover,Pink,"12""x20"" / 30x50 cm",0.09
Linen Slumber Solid Table Runner,SKU-00039,Table Runner,Vanilla Sky,"16""x100"" / 40x250 cm",0.21
