ITEM_ID,Name,SKU,Stock On Hand,Reorder Level,Account Name,Available for Sale,Brand,Category,Color,Description,Dimensions,EAN,Fabric Width,GSM,HSN/SAC,ISBN,MPN,Manufacturer,Pattern,Product Type,Purchase Account Name,Purchase Description,Purchase Rate,Quality,Rate,Type,UPC,Usage Unit,Vendor Name,Weight
"3955559000000064299",Cotton Filling / White,RM-00022,180.00,,Sales,180.00,,,White,,,,,,,,,,,Raw Material,Cost of Goods Sold,,₹250.00,Good,₹250.00,Goods,,Kg,,
"3955559000000064243",DMC Embroidery Thread / Multi,RM-00016,355.00,,Sales,355.00,,,Multi,,,,,,,,,,,Raw Material,Cost of Goods Sold,,₹250.00,25 Lea,₹250.00,Goods,,Cone,,
"3955559000000064289",Fusing / White,RM-00021,260.00,,Sales,260.00,,,White,,,,,,,,,,,Raw Material,Cost of Goods Sold,,₹90.00,CFC,₹90.00,Goods,,Mtr,,
"3955559000000064308",Grey Sheeting / Plain / Grey,RM-00023,495.80,,Sales,495.80,,,Grey,,,,64.00,120.00,,,,,Plain,Raw Material,Cost of Goods Sold,,₹120.00,150 GSM,₹120.00,Goods,,Mtr,,
"3955559000000198838",Linen Athena Cushion Cover,SKU-00006,0.00,,Sales,0.00,,,Green,,,,,,,,,,,Finished Goods,Cost of Goods Sold,,₹520.00,,₹999.00,Goods,,Pcs,,
"3955559000000064152",Linen Fabric / Block Print / Camellia Green,RM-00006,"1,474.15",,Sales,"1,474.15",,,Camellia Green,,,,125.00,180.00,,,,,Block Print,Raw Material,Cost of Goods Sold,,₹720.00,200 GSM,₹720.00,Goods,,Mtr,,
"3955559000000064170",Linen Fabric / Block Print / Donna,RM-00008,"1,758.45",,Sales,"1,758.45",,,Donna,,,,64.00,180.00,,,,,Block Print,Raw Material,Cost of Goods Sold,,₹860.00,350 GSM,₹860.00,Goods,,Mtr,,
"3955559000000064161",Linen Fabric / Block Print / Heritage Yellow,RM-00007,"1,700.00",,Sales,"1,700.00",,,Heritage Yellow,,,,64.00,180.00,,,,,Block Print,Raw Material,Cost of Goods Sold,,₹800.00,300 GSM,₹800.00,Goods,,Mtr,,
"3955559000000064179",Linen Fabric / Block Print / Liliana,RM-00009,"1,109.30",,Sales,"1,109.30",,,Liliana,,,,64.00,180.00,,,,,Block Print,Raw Material,Cost of Goods Sold,,₹660.00,150 GSM,₹660.00,Goods,,Mtr,,
"3955559000000064143",Linen Fabric / Block Print / Wiltshire Green,RM-00005,"1,236.20",,Sales,"1,236.20",,,Wiltshire Green,,,,64.00,180.00,,,,,Block Print,Raw Material,Cost of Goods Sold,,₹670.00,150 GSM,₹670.00,Goods,,Mtr,,
"3955559000000064188",Linen Fabric / Chambray / Olive,RM-00010,706.09,,Sales,706.09,,,Olive,,,,124.00,180.00,,,,,Chambray,Raw Material,Cost of Goods Sold,,₹710.00,200 GSM,₹710.00,Goods,,Mtr,,
"3955559000000064107",Linen Fabric / Solid / Cinnamon Brown,RM-00001,"1,045.10",,Sales,"1,045.10",,,Cinnamon Brown,,,,124.00,180.00,,,,,Solid,Raw Material,Cost of Goods Sold,,₹650.00,150 GSM,₹650.00,Goods,,Mtr,,
"3955559000000064116",Linen Fabric / Solid / Dusty Gold,RM-00002,161.28,,Sales,161.28,,,Dusty Gold,,,,64.00,180.00,,,,,Solid,Raw Material,Cost of Goods Sold,,₹700.00,200 GSM,₹700.00,Goods,,Mtr,,
"3955559000000064134",Linen Fabric / Solid / Sylph Green,RM-00004,"1,770.50",,Sales,"1,770.50",,,Sylph Green,,,,124.00,180.00,,,,,Solid,Raw Material,Cost of Goods Sold,,₹850.00,350 GSM,₹850.00,Goods,,Mtr,,
