Date,Status,Reference Number,Reason,Description,New Quantity on Hand,Quantity Adjusted,Cost Price,Item Name,SKU,Item Description,Unit,Account,Branch Name,Warehouse Name
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1045.10,,,Linen Fabric / Solid / Cinnamon Brown,RM-00001,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,161.28,,,Linen Fabric / Solid / Dusty Gold,RM-00002,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1600.00,,,Linen Fabric / Solid / Vanilla Sky,RM-00003,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1770.50,,,Linen Fabric / Solid / Sylph Green,RM-00004,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1236.20,,,Linen Fabric / Block Print / Wiltshire Green,RM-00005,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1474.15,,,Linen Fabric / Block Print / Camellia Green,RM-00006,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1700.00,,,Linen Fabric / Block Print / Heritage Yellow,RM-00007,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1758.45,,,Linen Fabric / Block Print / Donna,RM-00008,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1109.30,,,Linen Fabric / Block Print / Liliana,RM-00009,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,706.09,,,Linen Fabric / Chambray / Olive,RM-00010,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,645.10,,,Linen Fabric / Yarn Dyed / Sylph Green,RM-00011,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,830.00,,,Stitching Thread / Cinnamon Brown,RM-00012,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,2152.00,,,Stitching Thread / Dusty Gold,RM-00013,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1988.00,,,Stitching Thread / Green,RM-00014,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1590.00,,,Stitching Thread / Olive,RM-00015,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,355.00,,,DMC Embroidery Thread / Multi,RM-00016,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,316.00,,,Overlock Thread / Green,RM-00017,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1540.00,,,Wash Care Label 4x5 cm / White,RM-00018,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,1988.00,,,Wash Care Label 5x4 cm / White,RM-00019,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,4562.00,,,Wash Care Label 7x5 cm / White,RM-00020,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,260.00,,,Fusing / White,RM-00021,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,180.00,,,Cotton Filling / White,RM-00022,,,Cost of Goods Sold,,Main Warehouse
2026-08-26,adjusted,BASE-001,Stocktaking results,Baseline Sync,495.80,,,Grey Sheeting / Plain / Grey,RM-00023,,,Cost of Goods Sold,,Main Warehouse
